"date","userType","users","sessions","pageviews","sessionDuration","bounces","X3pg","Buypg","SocialShare","RCA","viewName"
2015-11-26,"Returning Visitor",108178,132780,287200,27604343,70034,28225,6169,64,1023,"F: FIFA MKT"
2015-11-27,"New Visitor",234619,234619,390701,17291507,85995,32007,32806,107,5594,"F: FIFA MKT"
2015-11-27,"Returning Visitor",124246,158714,338162,33417634,77908,34660,10452,53,2216,"F: FIFA MKT"
2015-11-28,"New Visitor",217401,217401,363062,16794844,86549,29461,38560,117,4582,"F: FIFA MKT"
2015-11-28,"Returning Visitor",105429,135114,303481,29556260,69341,29109,11006,75,1588,"F: FIFA MKT"
2015-11-29,"New Visitor",205105,205105,345567,15755639,85547,27585,39497,117,3260,"F: FIFA MKT"
2015-11-29,"Returning Visitor",100656,128113,282672,28232241,68425,27575,11678,96,1087,"F: FIFA MKT"
2015-11-30,"New Visitor",183998,183998,310769,14488037,71131,25806,28001,75,3175,"F: FIFA MKT"
2015-11-30,"Returning Visitor",93965,122189,279518,30882782,60306,29152,6883,53,938,"F: FIFA MKT"
2015-12-01,"New Visitor",175271,175271,297706,13281306,70098,25380,22364,117,2994,"F: FIFA MKT"
2015-12-01,"Returning Visitor",90800,114475,251837,24324283,57003,25678,5253,21,842,"F: FIFA MKT"
2015-12-02,"New Visitor",180151,180151,299272,12707545,85633,23153,16462,32,1865,"F: FIFA MKT"
2015-12-02,"Returning Visitor",132759,156711,288916,21966461,98877,24442,5189,0,874,"F: FIFA MKT"
2015-12-03,"New Visitor",195303,195303,298025,11633445,104598,20809,17506,139,2163,"F: FIFA MKT"
2015-12-03,"Returning Visitor",88392,107123,215770,18465155,59454,19882,4496,64,703,"F: FIFA MKT"
2015-12-04,"New Visitor",162550,162550,271516,11870152,67818,21214,19179,43,2280,"F: FIFA MKT"
2015-12-04,"Returning Visitor",80529,98408,209239,18739249,52358,19424,5285,53,799,"F: FIFA MKT"
2015-12-05,"New Visitor",188643,188643,308297,13293847,91482,23963,24059,75,2440,"F: FIFA MKT"
2015-12-05,"Returning Visitor",82021,101924,214183,19283220,56588,19221,7107,96,810,"F: FIFA MKT"
